program,sub_program,district_name,campus_id,campus,year,demog,subject,proficiency,rate
ALP,C3,UPLIFT EDUCATION,57803110,UPLIFT PEAK PREPARATORY PRI,2016,all,math,meets,42
ALP,C3,UPLIFT EDUCATION,57803110,UPLIFT PEAK PREPARATORY PRI,2016,all,math,approaches,78
ALP,C3,UPLIFT EDUCATION,57803110,UPLIFT PEAK PREPARATORY PRI,2016,all,reading,meets,49
ALP,C3,UPLIFT EDUCATION,57803110,UPLIFT PEAK PREPARATORY PRI,2016,all,reading,approaches,77
Alumni Network,NULL,DALLAS ISD,57905001,BRYAN ADAMS H S,2016,all,math,meets,27
Alumni Network,NULL,DALLAS ISD,57905001,BRYAN ADAMS H S,2016,all,math,approaches,67
Alumni Network,NULL,DALLAS ISD,57905001,BRYAN ADAMS H S,2016,all,reading,meets,40
Alumni Network,NULL,DALLAS ISD,57905001,BRYAN ADAMS H S,2016,all,reading,approaches,60
Alumni Network,NULL,DALLAS ISD,57905013,FRANKLIN D ROOSEVELT H S,2016,all,math,meets,31
Alumni Network,NULL,DALLAS ISD,57905013,FRANKLIN D ROOSEVELT H S,2016,all,math,approaches,71
Alumni Network,NULL,DALLAS ISD,57905013,FRANKLIN D ROOSEVELT H S,2016,all,reading,meets,20
Alumni Network,NULL,DALLAS ISD,57905013,FRANKLIN D ROOSEVELT H S,2016,all,reading,approaches,38
Teams,Teams 1,DALLAS ISD,57905014,W W SAMUELL H S,2016,all,math,meets,42
Teams,Teams 1,DALLAS ISD,57905014,W W SAMUELL H S,2016,all,math,approaches,74
Teams,Teams 1,DALLAS ISD,57905014,W W SAMUELL H S,2016,all,reading,meets,28
Teams,Teams 1,DALLAS ISD,57905014,W W SAMUELL H S,2016,all,reading,approaches,50
Alumni Network,NULL,DALLAS ISD,57905017,H GRADY SPRUCE H S,2016,all,math,meets,37
Alumni Network,NULL,DALLAS ISD,57905017,H GRADY SPRUCE H S,2016,all,math,approaches,74
Alumni Network,NULL,DALLAS ISD,57905017,H GRADY SPRUCE H S,2016,all,reading,meets,19
